title,user_name,rating,date,review_text,likes,data_id
Wisata Kota Tua Jakarta,varra,3.0,seminggu lalu,"Saya berkunjung ke Kota Tua sekitar pukul 1–3 dini hari. Secara keseluruhan, tempatnya kini terasa lebih bersih dan nyaman dibanding terakhir kali saya datang sekitar delapan tahun lalu. Suasananya juga cukup tenang dan aman untuk berjalan-jalan malam.

Namun, masih ada beberapa hal yang perlu diperhatikan. Saya masih menemui adanya pungutan liar dari parkir tidak resmi, beberapa pedagang yang terlalu memaksa, serta penjual dan pengunjung yang masih membuang sampah sembarangan.

Perubahan ke arah yang lebih baik memang terlihat, tapi pengawasan dan kedisiplinan pengunjung masih perlu ditingkatkan agar Kota Tua benar-benar menjadi area wisata yang tertib dan nyaman setiap saat.",,0x2e69ec2a940017ed:0xdfce12d4a0938133
Wisata Kota Tua Jakarta,Yosef Budiman,5.0,Diedit seminggu lalu,"Saya mengunjungi kawasan kota tua hari ini. Deretan bangunan tua atau bangunan baru tetapi dengan desain lama memberi kesan ""kota tua"". Tempat ini lebih tepat kawasan wisata edukasi yang menggambarkan sejarah kota Jakarta dan Indonesia secara Umum. Banyak view yang cocok untuk berfoto dengan kesan 'masa penjajahan Belanda. Anda bisa menyewa sependa onthel dengan topi khas meneer Belanda.

Setelah puas berswafoto atau sepeda, jangan lupa kunjungi museum wayang atau musium lainnya yang ada di kawasan ini agar wisata anda menambah ilmu tentang warisan budaya Indonesia.

Jika anda suka kuliner bisa juga menikmati aneka makanan dan minuman di gedung-gedung zaman Belanda. Bagi yang menginginkan makanan yang murah.lebih baik makan di emperan sepanjang jalan kota tua. Harganya bersahabat.

Cukup Rp.20.000,00 , anda bisa menikmati makanan. Bakso, mie ayam, ayam bakar, sate dan sebagainya. Minuman pun cukup Rp
5000 per porsi. Cukup dikantong wisatawan low budget.",,0x2e69ec2a940017ed:0xdfce12d4a0938133
Wisata Kota Tua Jakarta,Seali Lismaryanti,5.0,2 bulan lalu,"Dateng sore, sejuk selalu ramai karna dari berbagai lapisan masyarakat bisa dtng kesini. Banyak museum bersejarah, banyak spot makanan dan minuman dijamin tidak berhenti ngemil hehe, saran jika ke sini menggunakan trasum lebih mudah dan tidak pusing cari parkiran hehe dapat dijangkau oleh transjakarta koridor 1 dan krl.",,0x2e69ec2a940017ed:0xdfce12d4a0938133
Wisata Kota Tua Jakarta,arun karuniawan,4.0,sebulan lalu,"Kesini pagi hari jam 7an weekend. Masih sepi, enak. Gedung² lawasnya keren masih kokoh berdiri gak kalah dgn gedung² baru sekitarnya. 👍Pinter² cari parkiran karena banyak parkir liar di trotoar tp pasang banner seolah resmi, harganya 1 motor bisa 10k. Mending yg resmi² aja lah 😉",,0x2e69ec2a940017ed:0xdfce12d4a0938133
Wisata Kota Tua Jakarta,Aprilia Wahyuningtyas,5.0,sebulan lalu,"Salah satu kawasan wisata yang wajib dikunjungi kalau liburan ke Jakarta. Vibesnya hampir kyak di 0 km Jogja hehe
Disini terdapat bangunan-bangunan tua khas Belanda, museum, dan banyak spot foto bagus. Kalau weekend bener-bener ramai banget krn jadi tempat wisata orang-orang lokal juga. Kalau kesini suka pas sore hari sampai malam krn ga terlalu panas dan banyak jajanan. Tapi kalau mau foto-foto lebih bagus pagi hari aja sih.",,0x2e69ec2a940017ed:0xdfce12d4a0938133
Wisata Kota Tua Jakarta,ke mana saja?,4.0,2 bulan lalu,"Hallo hai semuanya 👋
Kali ini aku merivew Kota Tua Jakarta atau Old Batavia... Langsung ajaa
Jujur baru pertama kali datang ke sini dan rasanya pengen balik untuk explore lebih lama lagi karena seasik itu belajar sejarah di kota-kota tua gini.
Apalagi kalau sore sampai malam kian rame di sini dan ada pertunjukan musik waktu itu. Aku datang dari siang sampai malam.
Cobalah buat yang lagi ke Jakarta mampirlah ke sini sambil belajar sejarah.
Untuk fasilitas umum dan kondisi lingkungan cukup bersih, namun agak disayangkan bagi yang muslim kalau mau melaksanakan sholat sempit musholanya, tapi entah barangkali ada mushola atau masjid disekitar yang lebih besar aku kurang tahu, karena waktu itu cari"" cuma nemu ini.
Di sini juga banyak pedagang makanan, minuman, dan survenir lainnya. Harga makanan masih terbilang terjangkau dan rasanya juga enak.
Mungkin itu review berdasarkan pengalaman ku, sekian and see you again",,0x2e69ec2a940017ed:0xdfce12d4a0938133
Wisata Kota Tua Jakarta,Ahmad Sadaly,5.0,seminggu lalu,"Kota Tua Selalu Rame Pas main mlm minggu ada ivent colours culture festival,,masuk geratis bayar parkir motor 10k,harga minuman makanan terbilang masih worth it.
Oiya untuk teman"" pengunjung dimohon kesadaranya agar tetap menjaga kebersihan , buanglah sampah pada tempatnya .
Sayang klo teman"" mangabadikan moment foto2,backgroundnya sampah2 g bersih,",,0x2e69ec2a940017ed:0xdfce12d4a0938133
Wisata Kota Tua Jakarta,Amar Ramdani,5.0,3 minggu lalu,"Pagi pagi ngajak anak ke kota tua, seru juga temoatnya murah meriah bisa foto foto dan juga baca baca sejarah. Sangat happy. Tapi kita ga masuk ke museum atau rumah hantunya soalnya bawa bocil.",,0x2e69ec2a940017ed:0xdfce12d4a0938133
Wisata Kota Tua Jakarta,Anton Ryadie,5.0,seminggu lalu,"Tempat wisata sejarah yang menarik. Ada beberapa museum di sekitar kawasan. Untuk masuk museum dikenakan tarif, sedangkan untuk berkeliling kwan kota tua tidak dipungut biaya.",,0x2e69ec2a940017ed:0xdfce12d4a0938133
Wisata Kota Tua Jakarta,Eca Marica,4.0,sebulan lalu,"Kawasan lumayan bersih. Cmn bbrpa fasilitas sudah rusak. Bahu jalan juga. Untuk harga makanan dsna klo bisa lebih terjangkau lagi selain es teh.
Belom masuk museum nya. Tp di luar jg udh lumayan.",,0x2e69ec2a940017ed:0xdfce12d4a0938133
