title,rating,reviews,address,description,latitude,longitude,operating_hours,phone,website
Wisata Kota Tua Jakarta,4.6,24864,"Kawasan Kota Tua, Taman Fatahillah No.1 7, RT.7/RW.7, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110, Indonesia","Old town area with colonial architecture. Historic district home to Dutch colonial buildings, museums & a buzzy plaza with street performers.",-6.1350687,106.81367949999999,8 AM–9 PM,,http://fb.com/wisatakotatua
Nangka Waterfall,4.3,7491,"8PMG+RX6, Sukajadi, Tamansari, Bogor Regency, West Java 16370, Indonesia","Dramatic waterfall with a modest pool. Scenic waterfall in a forested area, with a small pool at the bottom for splashing.",-6.6690656,106.7264075,Open 24 hours,+62 858-8820-8799,
Kampung Wisata Ciwaluh,4.5,396,"Kp wisata ciwaluh, Watesjaya, Cigombong, Bogor Regency, West Java 16110, Indonesia",,-6.7644215,106.84626929999999,Open 24 hours,+62 819-1191-7723,http://kampungwisataciwaluh.wordpress.com/
Taman Batu Gede Sayar,4.4,378,"V443+9JR, Sayar, Taktakan, Serang City, Banten 42162, Indonesia",,-6.1440021,106.10400639999999,Open 24 hours,,
Taman Pandang Istana,4.5,2560,"Jalan Silang Monas Barat Laut, RT.5/RW.2, Gambir, RT.5/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110, Indonesia","Open green space with benches. Urban plaza with green spaces offering benches & quiet respite, often holding demonstrations.",-6.1721641,106.8233829,Open 24 hours,,
Karang Para,4.3,630,"2VV9+M93, Kebonmanggu, Kecamatan Gunungguruh, Kebonmanggu, Kec. Gn. Guruh, Kabupaten Sukabumi, Jawa Barat 43156, Indonesia",,-6.9558542999999995,106.86841369999999,Open 24 hours,+62 812-8887-6234,
Taman Kemang Pratama,4.5,2140,"Jalan Niaga Raya Blok. C No. 3, Sepanjang Jaya, Rawalumbu, RT.001/RW.021, Bojong Rawalumbu, Kota Bks, Jawa Barat 17114, Indonesia",Food stalls & deer encounters for kids. Small riverside park with food stalls & enclosures where children can feed the resident deer.,-6.2696555,106.9865404,Open 24 hours,,
Telaga Batu,4.5,565,"Jl. Curug Pangeran, Gn. Picung, Kec. Pamijahan, Kabupaten Bogor, Jawa Barat 16810, Indonesia","Forested swimming spot near camping. Small, artificial swimming lake in hilly jungle surrounds, with a basic campground nearby.",-6.6972853,106.6930933,Open 24 hours,+62 858-8175-9288,
Kampung Bekelir,4.7,211,"RJ6M+RPF, Jl. Perintis Kemerdekaan, RT.001/RW.001, Babakan, Kec. Tangerang, Kota Tangerang, Banten 15118, Indonesia",,-6.1879339,106.6342894,Open 24 hours,,
Monkey Forest Tourism Park,4.4,538,"H789+GPQ, Jl. Dr. Cipto Mangunkusumo, Sumur Batu, Teluk Betung Utara, Bandar Lampung City, Lampung 35212, Indonesia",,-5.4336516999999995,105.2693532,Open 24 hours,,
Cilember Waterfall,4.5,9132,"Megamendung, Bogor Regency, West Java 16770, Indonesia","Camping & hiking at a forest cascade. Trails, viewpoints & campsites surround these falls in a tropical forest home to long-tail monkeys.",-6.6611293,106.94650229999999,7 AM–9 PM,+62 813-9410-1424,
Wisata Puncak Vietnam,4.5,250,"H5MR+JR5, Sumber Agung, Kec. Kemiling, Kota Bandar Lampung, Lampung 35156, Indonesia",,-5.415992699999999,105.1920952,8 AM–9 PM,+62 811-725-393,
Situ Rawa Gede (wisata alam),4.6,386,"9XCR+PGP, Sirnajaya, Sukamakmur, Bogor Regency, West Java 16830, Indonesia",,-6.6281735,106.99134319999999,Open 24 hours,+62 857-1666-1700,
Wisata Danau Cigunung Tugu Takokak,4.5,104,"W2P5+JQH, Pasawahan, Kec. Takokak, Kabupaten Cianjur, Jawa Barat 43265, Indonesia",,-7.0634273,107.00948629999999,Open 24 hours,,
Cisadane Walk,4.6,4036,"Jl. Benteng Jaya, RT.004/RW.005, Sukarasa, Tangerang, Tangerang City, Banten 15111, Indonesia","Instagrammable riverside hangout spot. Waterfront promenade with a colorful sign popular for photos, plus vendors & play structures.",-6.1723944,106.62891119999999,Open 24 hours,,
Taman Waduk Pluit,4.4,9386,"6, Jl. Pluit Timur Raya No.12, RT.6/RW.5, Pluit, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia","Waterfront park with trees & trails. This green space bordering a lake has lush lawns & shade trees, plus paved paths & benches.",-6.1137292,106.79504969999999,Open 24 hours,,
Leuwi Hejo,4.3,10293,"Jalan raya jangelansentul, Cibadak, Sukamakmur, Bogor Regency, West Java 16830, Indonesia","Scenic waterfall in green surrounds. Picturesque waterfall by a boulder-studded river, reached by a rugged path in a lush natural locale.",-6.5893251,106.95467889999999,Open 24 hours,+62 858-1407-3172,http://www.hickingtreckingsentul.web.id/
Tirtayasa Summit,4.4,1170,"G66V+PJR, Gunung Muncak, Sukajaya Lempasing, Padang Cermin, Sukajaya Lempasing, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35236, Indonesia",,-5.4881391,105.2440154,7 AM–10 PM,,
Jembatan Gantung Situ Gunung 555,4.7,273,"Jl. Kadudampit, Gede Pangrango, Kadudampit, Sukabumi Regency, West Java 43153, Indonesia",,-6.8357771,106.9285817,Open 24 hours,,https://situgunungbridge.com/
Wisata Ziarah Pulau Cangkir,4.4,162,"Jalan Raya Pulau, Cangkir, Kec. Kronjo, Kabupaten Tangerang, Banten, Indonesia",,-6.0282642,106.44171229999999,Open 24 hours,,
